#space dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)	#space dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun' by default	#          3) Added category as 'noun' by default
###############################################################################	###############################################################################
comprise_noun	samAviRta_karanA
computation_noun	aBikalana
computational_noun	aBikalanI/parikalanAwmaka
computationally_noun	aBikalanIyawa:
computer_noun	kampyUtara
computerization_noun	kampyUtarIkaraNa
comsat_noun	kAmasEta/saFcAra_upagraha
concatenation_noun	saMSqfKalana
concentrate_noun	sAnxra_safkeMxriwa_BAra
concentric_noun	safkeMxrI
conception_noun	safkalpanA
conceptual_noun	safkalpanAwmaka
concerted_noun	samanviwa
conclusion_noun	pariNAma/niRkarRa
concordance_noun	sAmaFjasya
concordant_noun	susafgawa/susvara/anuswarI
concourse_noun	jamAva
condensant_noun	xravaNI
condensate_noun	xrAva/safGaniwa
condenser_noun	safGaniwra
condition_noun	prawibanXa/avasWA/parisWiwi/sWiwi/samaprawibala_prawibanXa
conditioning_noun	prAnukUlana
conductance_noun	cAlakawva
conduction_noun	cAlana
conductivity_noun	cAlakawA
cone_noun	Safku
configuration_noun	vinyAsa/saMrUpaNa
configure_noun	saMrUpaNa
congeneric_noun	sahowpanna
coning_noun	Safkvana/koniMga/SafKana
conjugate_noun	saMyugmI
conjunction_noun	safgamana/saMyogI/yuwi
connection_noun	sambanXana/(sI.sI.)_sambanXana/sambanXa/saMyojana
connectivity_noun	saMyojakawA/sambanXawA
connector_noun	yojI/kanektara/sambanXaka/anuyojaka
consequently_noun	wawpaScAw
conservative_noun	saMrakRI/rUDa
consider_noun	vicAra_karanA
consist_noun	samAviRta_karanA
console_noun	kansola
conspicuously_noun	spaRtarUpeNa
constancy_noun	sWirawA/niyamiwawA
constant_noun	sWirAfka/niyawAfka
constellation_noun	wArA-maNdala/wArA_samUha
constituent_noun	avayava/racaka/safGataka
constraint_noun	vyavaroXa
consultation_noun	parAmarSa
consumption_noun	vyaya/upaBoga/Kapawa
contact_noun	samparka/sparSa
contactor_noun	samparkiwra
contain_noun	anwarviRta_karanA
contamination_noun	sanxURaNa
contemporary_noun	samakAlIna
content_noun	anukramaNikA/viRaya-vaswu
context_noun	prasafga/sanxarBa
continental_noun	mahAxvIpI/mahAxeSI
continuation_noun	sAwawya/jArI_raKanA
continue_noun	viwawa/sawawa
