#electrical multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)	#electrical multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun' by default	#          3) Added category as 'noun' by default
#          4) If last word is not punctuation then treated last word as head	#          4) If last word is not punctuation then treated last word as head
#             or else treated last but one word as head	#             or else treated last but one word as head
#################################################################################	#################################################################################
air_entrained_concrete	gqhIwa_vAyu_kafkrIta#gqhIwa_vAyu_kafkrIta#noun#3#RM
air_entraining_admixture	vAyugrAhI_aXimiSraNa#vAyugrAhI_aXimiSraNa#noun#3#RM
air_entraining_cement	vAyugrAhI_sImenta#vAyugrAhI_sImenta#noun#3#RM
air_filter	vAyu_Piltara#vAyu_Piltara#noun#2#RM
air_flow	vAyu_pravAha#vAyu_pravAha#noun#2#RM
air_flow_measurement	vAyu_pravAha_mApana#vAyu_pravAha_mApana#noun#3#RM
air_free	vAyu_mukwa#vAyu_mukwa#noun#2#RM
air_gap	vAyu-anwarAla#vAyu-anwarAla#noun#2#RM
air_gap_line	vAyu-anwarAla_reKA#vAyu-anwarAla_reKA#noun#3#RM
air_guage	vAyu_pramApI#vAyu_pramApI#noun#2#RM
air_handling_unit_(_ahu_)	eyara_hEMdaliMga_yUnita_(eecayU)#eyara_hEMdaliMga_yUnita_(eecayU)#noun#5#RM
air_outlet	vAyu_nikAsa#vAyu_nikAsa#noun#2#RM
air_permeability	vAyu_pAragamyawA#vAyu_pAragamyawA#noun#2#RM
air_pollution	vAyu_praxURaNa#vAyu_praxURaNa#noun#2#RM
air_pressure	vAyu_xAba#vAyu_xAba#noun#2#RM
air_pump	vAyu_pampa#vAyu_pampa#noun#2#RM
air_receiver	vAyu_aBigrAhI#vAyu_aBigrAhI#noun#2#RM
air_relief_valve	vAyu_mocana-vAlva#vAyu_mocana-vAlva#noun#3#RM
air_shaft	vAyu_SoYPta#vAyu_SoYPta#noun#2#RM
air_tight	eyara_tAita/vAyu_ruxXa#eyara_tAita/vAyu_ruxXa#noun#2#RM
