##Added by Roja (25-05-12)	##Added by Roja (25-05-12)
##Science Compound Dictionary .	##Science CoMpound Dictionary .
##Extracted from 'Class10_Science_Index_NCERT_TextBook_HindiEdition.pdf'	##Extracted from 'Class10_Science_Index_NCERT_TextBook_HindiEdition.pdf'
#Science_word	Hindi_word_in_wx
############################################################################	############################################################################
Speciation	jAwi_uxBava
Spectacles	caSmA
Spectrum	spektrama
Spherical_mirror	golIya_xarpaNa
Sphincter_muscles	aviroXinI_peSI
Spinal_cord	merUrajju
Splitting	parikRepiwa/viBakwa
Spore	bIjANu
Sprinkler	CiwarAvaka
Stakeholder	xAvexAra
Stamen	pufkesara
Starvation	buBukRaNa
Stereopsis	wrivima_cAkRukI
Sterile_flower	banXya_puRpa
Stigro	varwikAgra
Stimulus	uxxIpana
Stomach	AmASaya
Stomata	ranXra
Straight	sIXI
Strontium	stroYnSiyama
Stung	dafkamArA
Style	varwikA
Substance	paxArWa
Suffix	pUrvalagna
Surgery	Salya
Survival	uwwarajIviwA
Sustainable_development	sampoRiwa_vikAsa
Symbol	prawIka
Synapse	sinepsa
Synthetic	sAMSleRika
Systole	prakuFcana
Tarnish	malIna
Technique	wakanIka
Tendency	pravqwwi
Terminals	sire
Testes	vqRaNa
Tetanus	XanuswamBa
Tetravalent	cawuHsaMyojaka
Thermal_power_plant	wApIya_vixyuwa_saMyanwra
Three-dimensional	wriAyAmI
Tidal_Energy	jvArIya_UrjA
Tides	jvAra_BAtA
Tongue	jihvA
Trachea	SvAsanalI
Transmission	pAragamana
Transmitted	pAragawa
Transparent	pAraxarSI
Transpiration	vARpowsarjana
Transplantation	prawyAropaNa
Transportationsystem	vahana_wanwra
Transverse	anuprasWa
Triad	wrika
Trophic_level	poRI-swara
Turbulent	vikRubXa
Turns	Pere
Twinkle	timatimAnA
Unbreeding	anwarjanana
Unicellular	ekakoSika
Universal_Indicator	sArvasUcaka
Unsaturation	asanwqpwa
Untreated_sewage	anupacAriwa_vAhiwa_mala
Upstream	apacayana/upacayana/UrXva_pravAha
Ureter	mUwra_vAhinI
Urethra	mUwramArga
u/s	apacayana/upacayana/UrXva_pravAha/
Uterus	garBASaya
Vagina	yoni
Valency	saMyojakawA
Variants	parivarwa
Variation	vicalana
Vascular_Bundle	saMvahana_baNdala
Vas_deferens	SukravAhinI
Vegetative_propagation	kAyika_pravarXana
Vein	SirA
Vena_cava	mahASirA
Ventricle	nilaya
Verigated	Sabaliwa
Versatile	sarvawomuKI
Version	vikalpa
Villi	xIrGaroma
Vinegar	sirakA
Virtual	ABAsI
Vitreous_humour	kAcABa_xrava
Waste	apaSiRta
Wave_Energy	warafga_UrjA
Wind	pavana
Wrought	pitavA
Xerophyte	marUxBixa
Zygote	yugmanaja
